DOWN:
long+SGDAT                      longi
long+PLNOM                      leng
long+PLACC                      leng
tír+SGGEN                       tírs
múr+PLDAT                       múrum
múr+PLACC                       múrir
cáerang+SGGEN                   cáerangs
ben+PLNOM                       benir
ben+SGGEN                       benar
skorpu+PLDAT                    skorpum
báhrs+SGGEN                     báhrsis
kló+PLDAT                       klóm
bleð+SGGEN                      bleðs
bláþ+PLACC                      bleþ
cú+SGDAT                        cúri
cú+PLNOM                        cúrir
cí+PLDAT                        cúum
ata+PRS+1SG+PASS                atag
IPFV+fáelae+PRS+3SG+ACTV        fufáelaed
SUBJ+légado+FUT+2PL+MIDL        rulégadoduðs
PSTFUT+biaða+FUT+1PL+ACTV       gubiaðadum
NEG+tiga+PRS+2SG+ACTV           nutigar
IPFV+dale+PST+3PL+ACTV          fudaleðu
NEG+selge+IMP+2PL+ACTV          nuselgoð
eþae+IMP+1PL+MIDL               eþaoms
SUBJ+ako+PST+2SG+ACTV           ruakoður
fáelae+IMP+2SG+ACTV             fáelair
SUBJ+biaða+PRS+2PL+MIDL         rubiaðiðs
eþae+FUT+3SG+PASS               eþaededg
NEG+ata+PST+1PL+ACTV            nuataðum
NEG+légado+FUT+3SG+PASS         nulégadododg

dale+SGGEN                      ???
IPFV+tiga+FUT+3PL+ACTV          ???
IPFV+selge+IMP+1PL+ACTV         ???
SUBJ+légado+IMP+2SG+MIDL        ???
ako+PRS+2SG+MIDL+PASS           ???
PSTFUT+eþae+PST+2PL+ACTV        ???
PSTFUT+biaða+PRS+1PL+ACTV       ???
PSTFUT+selge+IMP+3PL+ACTV       ???
feme+FUT+1PL+ACTV               ???
IPFV+cnáim+SGDAT                ???
kló+SGNOM+PASS                  ???


UP:
longi           long+SGDAT
leng            long+PLACC/long+PLNOM
tírs            tír+SGGEN
múrum           múr+PLDAT
múrir           múr+PLNOM/PLACC
cáerangs        cáerang+SGGEN
benir           ben+PLACC/ben+PLNOM
benar           ben+SGGEN
skorpum         skorpu+PLDAT
báhris          báhrs+SGGEN
klóm            kló+PLDAT
bleðs           bleð+SGGEN
bleþ            bláþ+PLNOM/bláþ+PLACC
cúri            cú+SGDAT
cúrir           cú+PLNOM/cú+PLACC
cúum            cú+PLDAT
atag            ata+PRS+1SG+PASS
fufáelaed       IPFV+fáelae+PRS+3SG+ACTV
rulégadoduðs    SUBJ+légado+FUT+2PL+MIDL
gubiaðadum      PSTFUT+biaða+FUT+1PL+ACTV
nutigar         NEG+tiga+PRS+2SG+ACTV
fudaleðu        IPFV+dale+PST+3PL+ACTV
nuselgoð        NEG+selge+IMP+2PL+ACTV
eþaoms          eþae+IMP+1PL+MIDL
ruakoður        SUBJ+ako+PST+2SG+ACTV
fáelair         fáelae+IMP+2SG+ACTV
rubiaðiðs       SUBJ+biaða+PRS+2PL+MIDL
eþaededg        eþae+FUT+3SG+PASS
nuataðum        NEG+ata+PST+1PL+ACTV
nulégadododg    NEG+légado+FUT+3SG+PASS

lung            ???
cnáimar         ???
skorpuum        ???
cúm             ???
klóum           ???
dalear          ???
báhrss          ???
bin             ???
tíre            ???
futigadu        ???
fuselgom        ???
rulégadurs      ???
akorsg          ???
fáelaodi        ???
gueþaði         ???
gubiaðum        ???
guselgo         ???
femedum         ???
fucnáimi        ???
klóg            ???
